,club_name,league_name,country_name,club_value,league_value,average_league_value
0,Manchester City,Premier League,England,1050000000,10320000000,21635220
1,Chelsea FC,Premier League,England,1040000000,10320000000,21635220
2,Liverpool FC,Premier League,England,931000000,10320000000,21635220
3,Arsenal FC,Premier League,England,803000000,10320000000,21635220
4,Manchester United,Premier League,England,759200000,10320000000,21635220
5,Tottenham Hotspur,Premier League,England,711300000,10320000000,21635220
6,Newcastle United,Premier League,England,474400000,10320000000,21635220
7,West Ham United,Premier League,England,471500000,10320000000,21635220
8,Leicester City,Premier League,England,455100000,10320000000,21635220
9,Aston Villa,Premier League,England,445800000,10320000000,21635220
10,Wolverhampton Wanderers,Premier League,England,393700000,10320000000,21635220
11,Southampton FC,Premier League,England,387500000,10320000000,21635220
12,Everton FC,Premier League,England,368100000,10320000000,21635220
13,Nottingham Forest,Premier League,England,332650000,10320000000,21635220
14,Crystal Palace,Premier League,England,309200000,10320000000,21635220
15,Brighton & Hove Albion,Premier League,England,308600000,10320000000,21635220
16,Brentford FC,Premier League,England,305100000,10320000000,21635220
17,Leeds United,Premier League,England,295000000,10320000000,21635220
18,Fulham FC,Premier League,England,245500000,10320000000,21635220
19,AFC Bournemouth,Premier League,England,226700000,10320000000,21635220
20,Real Madrid,LaLiga,Spain,849000000,4830000000,10638766
21,FC Barcelona,LaLiga,Spain,762000000,4830000000,10638766
22,Atlético de Madrid,LaLiga,Spain,489000000,4830000000,10638766
23,Real Sociedad,LaLiga,Spain,380500000,4830000000,10638766
24,Villarreal CF,LaLiga,Spain,289700000,4830000000,10638766
25,Real Betis Balompié,LaLiga,Spain,262500000,4830000000,10638766
26,Valencia CF,LaLiga,Spain,249500000,4830000000,10638766
27,Sevilla FC,LaLiga,Spain,240000000,4830000000,10638766
28,Athletic Bilbao,LaLiga,Spain,221800000,4830000000,10638766
29,Getafe CF,LaLiga,Spain,142200000,4830000000,10638766
30,Celta de Vigo,LaLiga,Spain,125500000,4830000000,10638766
31,CA Osasuna,LaLiga,Spain,124200000,4830000000,10638766
32,Girona FC,LaLiga,Spain,114700000,4830000000,10638766
33,RCD Espanyol Barcelona,LaLiga,Spain,108400000,4830000000,10638766
34,UD Almería,LaLiga,Spain,95700000,4830000000,10638766
35,Rayo Vallecano,LaLiga,Spain,88200000,4830000000,10638766
36,RCD Mallorca,LaLiga,Spain,85100000,4830000000,10638766
37,Real Valladolid CF,LaLiga,Spain,69300000,4830000000,10638766
38,Elche CF,LaLiga,Spain,67600000,4830000000,10638766
39,Cádiz CF,LaLiga,Spain,61900000,4830000000,10638766
40,AC Milan,Serie A,Italy,571400000,4550000000,10111111
41,Inter Milan,Serie A,Italy,555950000,4550000000,10111111
42,SSC Napoli,Serie A,Italy,543000000,4550000000,10111111
43,Juventus FC,Serie A,Italy,442300000,4550000000,10111111
44,AS Roma,Serie A,Italy,338000000,4550000000,10111111
45,Atalanta BC,Serie A,Italy,307450000,4550000000,10111111
46,SS Lazio,Serie A,Italy,264400000,4550000000,10111111
47,ACF Fiorentina,Serie A,Italy,235750000,4550000000,10111111
48,US Sassuolo,Serie A,Italy,177900000,4550000000,10111111
49,Torino FC,Serie A,Italy,154030000,4550000000,10111111
50,Udinese Calcio,Serie A,Italy,139750000,4550000000,10111111
